Issue Type,Summary,Epic Name,Epic Link,Priority,Story Points,Labels,Sprint,Description
"Story","VS_IOtpProvider + VS_OtpService (stub)","","Citizen Access Discovery","Medium","5","EP-06 dev-senior F-001","Sprint 3","Build VS_IOtpProvider interface + VS_OtpService with a POC stub provider (fixed test code, D-013) so mobile+OTP auth works in the scratch org without a live SMS gateway; a real provider swaps in later with zero caller change.
AC:
- OTP requested -> VS_OTP_Verification__c stores only VS_Mobile__c + hashed code + expiry, never plaintext.
- POC stub provider -> fixed test code issued (documented for QA) instead of live SMS.
- Real provider built later -> swaps in with zero change to VS_OtpService callers.
- 3 failed verify attempts -> 4th rejected with a user-actionable message.
Depends on: VS-07"
"Task","Experience Cloud citizen site + sharing set","","Citizen Access Discovery","Medium","5","EP-06 dev-mid F-001","Sprint 3","Stand up the Experience Cloud citizen site with VS_Citizen_Community permission set and a sharing set keyed to the OTP-verified mobile number, so citizens see only their own patients/appointments.
AC:
- OTP-verified citizen logs in -> sharing set grants visibility only to patients/appointments matching their verified mobile (section 6.2).
- Unverified citizen guesses another mobile's URL -> access denied.
- Site theme at 200% zoom -> layout remains usable (baseline check; full accessibility asserted in VS-16).
Depends on: VS-04, VS-13"
"Story","Facility/service discovery LWC (search by service + proximity)","","Citizen Access Discovery","Medium","5","EP-06 dev-senior F-001","Sprint 3","Build a discovery LWC letting citizens search active facility+service offerings and order results by proximity, degrading gracefully on 3G-class connections.
AC:
- Citizen searches by service type -> only active facilities offering that service appear.
- Citizen's approximate location -> facilities ordered by proximity using Geolocation.
- 3G-class connection -> component degrades gracefully (no heavy assets, works without map tiles).
Depends on: VS-01, VS-14"
"Story","Citizen booking journey LWC (book/view/cancel/reschedule)","","Citizen Access Discovery","Medium","8","EP-06 dev-senior F-001","Sprint 3","Build the citizen-facing LWC covering the full book/view/cancel/reschedule journey, calling VS_BookingService.book()/cancel()/reschedule() (VS-09/VS-11) imperatively, fully accessible (WCAG 2.1 AA) and localization-ready (Custom Labels only, no hardcoded strings).
AC:
- Citizen picks facility/service/date/slot and confirms -> LWC calls book(), shows booking reference or a user-actionable error.
- Citizen cancels/reschedules -> calls cancel/reschedule and reflects cut-off rule with a plain-language message when blocked.
- Screen-reader/keyboard-only user operates the whole journey -> every control reachable and ARIA-labelled, no mouse required.
- Slot availability states rendered with a text label, not colour alone.
- Successful booking confirmation screen is printable and shows essential details.
- All citizen-facing strings use Custom Labels (no hardcoded English) for later Marathi/Hindi localization.
Depends on: VS-09, VS-11, VS-14, VS-15"
"Task","VS_Notification_Log__c object & fields","","Notification Seam","Medium","2","EP-07 dev-mid F-001","Sprint 4","Build VS_Notification_Log__c as the durable record every notification writes to (D-014 log-only architecture) - lookups to Patient/Appointment, channel, template name, message body, status, provider, helpline-included flag, sent-at.
AC:
- Deploys with lookups to Patient/Appointment, VS_Channel__c, VS_Template_Name__c, VS_Message_Body__c, VS_Status__c (Logged/Sent/Failed), VS_Provider__c, VS_Helpline_Included__c, VS_Sent_At__c, each described.
Depends on: VS-08"
"Story","VS_ISmsProvider + VS_SmsService (log-only)","","Notification Seam","Medium","5","EP-07 dev-senior F-001","Sprint 4","Build VS_ISmsProvider interface + VS_SmsService, POC implementation LOG-ONLY per D-014 - writes a VS_Notification_Log__c row, sends NO real SMS. Preserves the send surface (DLT template name, helpline-included flag per C7.1-7.3) so a real gateway can implement the interface later with zero caller redesign. SMS vendor/DLT registration explicitly deferred, does not block F-001.
AC:
- Confirmation triggered -> VS_Notification_Log__c row written with Provider=LogOnly, Status=Logged, DLT template name, Helpline_Included=true for actionable templates - no real SMS sent (D-014).
- Real gateway implements VS_ISmsProvider later -> no caller of VS_SmsService changes.
- Called in bulk (e.g. 200 bookings) -> no SOQL/DML in a loop.
Depends on: VS-17"
"Task","Booking-confirmation record-triggered flow","","Notification Seam","Medium","2","EP-07 dev-mid F-001","Sprint 4","Build VS_Appointment_AfterSave_LogConfirmation, the record-triggered flow invoking the log-only notification seam (VS-18) exactly once per new appointment, fault path never rolls back the underlying booking.
AC:
- VS_Appointment__c inserted with status Booked or WalkIn -> flow invokes the notification seam exactly once per appointment.
- Invocable Apex action throws -> fault path writes VS_Error_Log__c, does not roll back the appointment.
Depends on: VS-08, VS-18"
"Task","Facility-scoped sharing rules + district View All","","Security Sharing Compliance","Medium","5","EP-08 dev-mid F-001 Tier-1","Sprint 4","Configure criteria-based sharing rules keyed on VS_Facility__c so facility staff see only their own facility's citizens/appointments, plus a compliance-tier View All for District Admin/MIS (C5.1 justified+audited).
AC:
- Facility-staff user in that facility's public group queries Appointment/Patient -> sharing returns only their facility's records.
- Same user opens a record from a different facility by Id -> not visible (insufficient privileges).
- District_Admin/District_MIS query the same objects -> View All on the compliance permission set grants aggregate/record-level access.
Depends on: VS-04, VS-08"
"Story","VS_RetentionPurgeBatch (per-class policy)","","Security Sharing Compliance","Medium","5","EP-08 dev-senior F-001","Sprint 4","Build a scheduled batch archiving/purging VS_Appointment__c/VS_Notification_Log__c/VS_OTP_Verification__c rows per their retention-class threshold in VS_Setting__mdt (bookings 3yr, SMS logs 1yr, audit 3yr, OTP daily), never purging a patient ahead of its longest-linked record.
AC:
- Per-class retention policy in VS_Setting__mdt -> eligible rows older than class threshold archived/purged per policy.
- VS_Patient__c linked to a still-retained booking -> NOT purged before its longest-linked record's retention expires.
- 200+ eligible rows (bulk posture) -> no SOQL/DML in a loop.
Depends on: VS-02, VS-07, VS-08, VS-17"
"Task","Synthetic seed data script","","Security Sharing Compliance","Medium","2","EP-08 dev-mid F-001","Sprint 4","Build a seed script producing fictional facilities, sessions, slots, and patients for the scratch/dev org, with no real PII and no Aadhaar-shaped values anywhere (rules/10).
AC:
- Seed script run against scratch/dev org -> creates fictional facilities, sessions, slots, patients with no real PII, no Aadhaar-shaped values.
- Script re-run -> does not duplicate reference data (idempotent or clearly reset-first).
Depends on: VS-01, VS-05, VS-07, VS-08"
